time,meanMsgsAtGateway,meanAtService
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1.0,0,0
1.1,0,0
1.2,0,0
1.3,0,0
1.4,0,0
1.5,0,0
1.6,0,0
1.7,0,0
1.8,0,0
1.9,0,0
2.0,0,0
2.1,0,0
2.2,0,0
2.3,0,0
2.4,0,0
2.5,0,0
2.6,0,0
2.7,0,0
2.8,0,0
2.9,0,0
3.0,0,0
3.1,0,0
3.2,0,0
3.3,0,0
3.4,0,0
3.5,0,0
3.6,0,0
3.7,0,0
3.8,0,0
3.9,0,0
4.0,1,0
4.1,1,0
4.2,1,0
4.3,1,0
4.4,1,0
4.5,1,0
4.6,1,0
4.7,1,0
4.8,1,0
4.9,1,0
5.0,1,0
5.1,1,0
5.2,1,0
5.3,1,0
5.4,1,0
5.5,1,0
5.6,1,0
5.7,1,0
5.8,1,0
5.9,1,0
6.0,1,0
6.1,1,0
6.2,1,0
6.3,1,0
6.4,1,0
6.5,1,0
6.6,1,0
6.7,1,0
6.8,1,0
6.9,1,0
7.0,3,0
7.1,3,0
7.2,4,0
7.3,4,0
7.4,4,0
7.5,4,0
7.6,4,0
7.7,4,0
7.8,4,0
7.9,4,0
8.0,5,0
8.1,6,0
8.2,6,0
8.3,6,0
8.4,6,0
8.5,6,0
8.6,6,0
8.7,6,0
8.8,6,0
8.9,6,0
9.0,6,0
9.1,6,0
9.2,7,0
9.3,7,0
9.4,8,0
9.5,8,0
9.6,9,0
9.7,9,0
9.8,9,0
9.9,9,0
10.0,9,0
10.1,10,0
10.2,10,0
10.3,10,0
10.4,11,0
10.5,11,0
10.6,11,0
10.7,12,0
10.8,12,0
10.9,12,0
11.0,12,0
11.1,13,0
11.2,13,0
11.3,13,0
11.4,13,0
11.5,13,0
11.6,13,0
11.7,13,0
11.8,13,0
11.9,13,0
12.0,13,0
12.1,13,0
12.2,13,0
12.3,13,0
12.4,13,0
12.5,13,0
12.6,13,0
12.7,13,0
12.8,13,0
12.9,13,0
13.0,13,0
13.1,13,0
13.2,13,0
13.3,13,0
13.4,13,0
13.5,13,0
13.6,13,0
13.7,13,0
13.8,13,0
13.9,13,0
14.0,13,0
14.1,13,0
14.2,13,0
14.3,13,0
14.4,13,0
14.5,13,0
14.6,14,0
14.7,14,0
14.8,14,0
14.9,14,0
15.0,14,0
15.1,14,0
15.2,14,0
15.3,14,0
15.4,14,0
15.5,14,0
15.6,14,0
15.7,14,0
15.8,15,0
15.9,16,0
16.0,17,0
16.1,17,0
16.2,17,0
16.3,17,0
16.4,17,0
16.5,17,0
16.6,17,0
16.7,17,0
16.8,17,0
16.9,17,0
17.0,17,0
17.1,17,0
17.2,19,0
17.3,0,22
17.4,0,22
17.5,1,22
17.6,1,22
17.7,1,22
17.8,1,22
17.9,1,21
18.0,2,21
18.1,2,20
18.2,2,20
18.3,2,20
18.4,2,19
18.5,2,19
18.6,2,18
18.7,2,18
18.8,2,18
18.9,2,18
19.0,3,18
19.1,3,18
19.2,3,18
19.3,3,18
19.4,3,18
19.5,3,18
19.6,3,18
19.7,3,18
19.8,3,18
19.9,3,18
20.0,3,17
20.1,3,17
20.2,3,17
20.3,3,17
20.4,3,17
20.5,3,17
20.6,4,17
20.7,4,16
20.8,4,16
20.9,4,16
21.0,4,16
21.1,4,16
21.2,4,16
21.3,4,16
21.4,4,16
21.5,4,16
21.6,4,16
21.7,4,16
21.8,4,15
21.9,4,15
22.0,4,15
22.1,4,15
22.2,4,15
22.3,4,15
22.4,4,15
22.5,4,15
22.6,4,14
22.7,4,14
22.8,4,14
22.9,4,14
23.0,4,14
23.1,4,14
23.2,5,14
23.3,5,14
23.4,5,14
23.5,5,14
23.6,5,14
23.7,5,14
23.8,5,14
23.9,5,14
24.0,5,14
24.1,5,14
24.2,5,14
24.3,5,14
24.4,5,14
24.5,5,14
24.6,5,14
24.7,5,14
24.8,5,14
24.9,5,12
25.0,5,11
25.1,5,11
25.2,5,11
25.3,5,11
25.4,5,11
25.5,5,11
25.6,5,11
25.7,5,11
25.8,5,11
25.9,5,11
26.0,5,11
26.1,5,11
26.2,5,11
26.3,5,11
26.4,5,11
26.5,5,11
26.6,5,11
26.7,5,11
26.8,5,11
26.9,5,10
27.0,6,10
27.1,6,10
27.2,6,10
27.3,6,10
27.4,6,9
27.5,6,9
27.6,6,8
27.7,6,8
27.8,6,8
27.9,6,8
28.0,6,8
28.1,6,7
28.2,6,7
28.3,6,7
28.4,6,6
28.5,6,6
28.6,6,6
28.7,7,5
28.8,7,5
28.9,7,5
29.0,7,3
29.1,7,3
29.2,8,3
29.3,8,2
29.4,8,2
29.5,8,1
29.6,8,1
29.7,9,1
29.8,9,1
29.9,9,0
30.0,9,0
30.1,9,0
30.2,9,0
30.3,9,0
30.4,9,0
30.5,10,0
30.6,10,0
30.7,10,0
30.8,10,0
30.9,10,0
31.0,11,0
31.1,11,0
31.2,11,0
31.3,11,0
31.4,11,0
31.5,11,0
31.6,11,0
31.7,11,0
31.8,12,0
31.9,12,0
32.0,12,0
32.1,12,0
32.2,12,0
32.3,12,0
32.4,12,0
32.5,12,0
32.6,12,0
32.7,12,0
32.8,12,0
32.9,12,0
33.0,12,0
33.1,12,0
33.2,12,0
33.3,12,0
33.4,12,0
33.5,13,0
33.6,13,0
33.7,13,0
33.8,13,0
33.9,13,0
34.0,13,0
34.1,14,0
34.2,14,0
34.3,14,0
34.4,14,0
34.5,14,0
34.6,14,0
34.7,14,0
34.8,14,0
34.9,14,0
