time,meanMsgsAtGateway,meanAtService
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,1,0
0.9,1,0
1.0,1,0
1.1,1,0
1.2,1,0
1.3,1,0
1.4,1,0
1.5,1,0
1.6,1,0
1.7,1,0
1.8,1,0
1.9,1,0
2.0,1,0
2.1,1,0
2.2,1,0
2.3,1,0
2.4,1,0
2.5,1,0
2.6,1,0
2.7,2,0
2.8,2,0
2.9,2,0
3.0,2,0
3.1,2,0
3.2,2,0
3.3,2,0
3.4,2,0
3.5,2,0
3.6,2,0
3.7,2,0
3.8,3,0
3.9,3,0
4.0,3,0
4.1,3,0
4.2,3,0
4.3,3,0
4.4,3,0
4.5,3,0
4.6,3,0
4.7,3,0
4.8,3,0
4.9,3,0
5.0,3,0
5.1,3,0
5.2,3,0
5.3,3,0
5.4,3,0
5.5,3,0
5.6,4,0
5.7,4,0
5.8,4,0
5.9,4,0
6.0,4,0
6.1,4,0
6.2,4,0
6.3,4,0
6.4,4,0
6.5,4,0
6.6,4,0
6.7,4,0
6.8,4,0
6.9,4,0
7.0,4,0
7.1,4,0
7.2,4,0
7.3,4,0
7.4,4,0
7.5,4,0
7.6,4,0
7.7,4,0
7.8,4,0
7.9,4,0
8.0,4,0
8.1,4,0
8.2,4,0
8.3,4,0
8.4,4,0
8.5,4,0
8.6,4,0
8.7,4,0
8.8,4,0
8.9,4,0
9.0,4,0
9.1,4,0
9.2,4,0
9.3,4,0
9.4,4,0
9.5,4,0
9.6,4,0
9.7,4,0
9.8,4,0
9.9,4,0
10.0,4,0
10.1,4,0
10.2,4,0
10.3,4,0
10.4,4,0
10.5,4,0
10.6,4,0
10.7,5,0
10.8,5,0
10.9,5,0
11.0,5,0
11.1,5,0
11.2,7,0
11.3,7,0
11.4,7,0
11.5,7,0
11.6,7,0
11.7,7,0
11.8,7,0
11.9,7,0
12.0,7,0
12.1,7,0
12.2,7,0
12.3,7,0
12.4,7,0
12.5,7,0
12.6,7,0
12.7,7,0
12.8,7,0
12.9,7,0
13.0,7,0
13.1,7,0
13.2,7,0
13.3,7,0
13.4,7,0
13.5,7,0
13.6,7,0
13.7,7,0
13.8,7,0
13.9,7,0
14.0,7,0
14.1,7,0
14.2,7,0
14.3,8,0
14.4,8,0
14.5,8,0
14.6,8,0
14.7,8,0
14.8,8,0
14.9,8,0
15.0,8,0
15.1,8,0
15.2,8,0
15.3,8,0
15.4,8,0
15.5,8,0
15.6,8,0
15.7,8,0
15.8,8,0
15.9,8,0
16.0,8,0
16.1,8,0
16.2,8,0
16.3,8,0
16.4,8,0
16.5,8,0
16.6,8,0
16.7,8,0
16.8,8,0
16.9,8,0
17.0,8,0
17.1,8,0
17.2,8,0
17.3,8,0
17.4,9,0
17.5,9,0
17.6,9,0
17.7,9,0
17.8,9,0
17.9,9,0
18.0,9,0
18.1,9,0
18.2,9,0
18.3,9,0
18.4,9,0
18.5,9,0
18.6,10,0
18.7,10,0
18.8,12,0
18.9,12,0
19.0,12,0
19.1,12,0
19.2,12,0
19.3,12,0
19.4,12,0
19.5,12,0
19.6,12,0
19.7,12,0
19.8,12,0
19.9,12,0
20.0,12,0
20.1,12,0
20.2,12,0
20.3,12,0
20.4,12,0
20.5,12,0
20.6,12,0
20.7,12,0
20.8,13,0
20.9,13,0
21.0,13,0
21.1,13,0
21.2,13,0
21.3,13,0
21.4,13,0
21.5,13,0
21.6,13,0
21.7,13,0
21.8,13,0
21.9,13,0
22.0,13,0
22.1,13,0
22.2,13,0
22.3,13,0
22.4,13,0
22.5,13,0
22.6,13,0
22.7,13,0
22.8,13,0
22.9,13,0
23.0,13,0
23.1,13,0
23.2,13,0
23.3,13,0
23.4,13,0
23.5,13,0
23.6,13,0
23.7,13,0
23.8,13,0
23.9,13,0
24.0,13,0
24.1,13,0
24.2,13,0
24.3,13,0
24.4,13,0
24.5,13,0
24.6,13,0
24.7,13,0
24.8,13,0
24.9,13,0
25.0,13,0
25.1,14,0
25.2,14,0
25.3,14,0
25.4,14,0
25.5,14,0
25.6,14,0
25.7,14,0
25.8,0,16
25.9,0,16
26.0,1,16
26.1,1,16
26.2,2,16
26.3,2,16
26.4,3,15
26.5,3,15
26.6,3,15
26.7,3,15
26.8,3,15
26.9,3,15
27.0,3,15
27.1,3,14
27.2,4,14
27.3,4,14
27.4,4,14
27.5,4,14
27.6,4,14
27.7,4,14
27.8,4,14
27.9,4,14
28.0,4,14
28.1,4,14
28.2,4,14
28.3,4,14
28.4,5,14
28.5,6,14
28.6,6,14
28.7,6,14
28.8,7,14
28.9,7,13
29.0,8,13
29.1,8,12
29.2,8,12
29.3,8,12
29.4,8,12
29.5,8,12
29.6,8,12
29.7,8,12
29.8,8,12
29.9,8,12
30.0,9,12
30.1,9,12
30.2,9,12
30.3,9,12
30.4,9,12
30.5,9,12
30.6,9,12
30.7,9,12
30.8,9,12
30.9,9,12
31.0,9,12
31.1,9,12
31.2,9,12
31.3,9,12
31.4,9,12
31.5,9,12
31.6,9,12
31.7,9,12
31.8,9,11
31.9,10,11
32.0,11,10
32.1,11,10
32.2,11,10
32.3,11,10
32.4,11,9
32.5,11,9
32.6,11,8
32.7,11,8
32.8,11,7
32.9,11,7
33.0,11,6
33.1,11,5
33.2,11,5
33.3,11,5
33.4,11,5
33.5,11,5
33.6,11,5
33.7,11,5
33.8,11,5
33.9,11,5
34.0,11,5
34.1,11,4
34.2,11,4
34.3,11,4
34.4,11,2
34.5,11,2
34.6,11,2
34.7,11,2
34.8,11,2
34.9,11,2
