time,cumulativeEmpty,cumulativeBatchingIdleReward,batchingIdleTime,batchingIdleFraction
0,0,0,0,0
0.1,0.1,0.0,0.0,0
0.2,0.2,0.0,0.0,0
0.3,0.3,0.0,0.0,0
0.4,0.4,0.0,0.0,0
0.5,0.5,0.0,0.0,0
0.6,0.6,0.0,0.0,0
0.7,0.7,0.0,0.0,0
0.8,0.8,0.0,0.0,0
0.9,0.9,0.0,0.0,0
1.0,1.0,0.0,0.0,0
1.1,1.1,0.0,0.0,0
1.2,1.15,0.1,0.05,0.04166666666666666666666666666666667
1.3,1.15,0.3,0.15,0.1153846153846153846153846153846154
1.4,1.15,0.5,0.25,0.1785714285714285714285714285714286
1.5,1.15,0.7,0.35,0.2333333333333333333333333333333333
1.6,1.15,0.9,0.45,0.28125
1.7,1.15,1.1,0.55,0.3235294117647058823529411764705882
1.8,1.15,1.3,0.65,0.3611111111111111111111111111111111
1.9,1.15,1.5,0.75,0.3947368421052631578947368421052632
2.0,1.15,1.7,0.85,0.425
2.1,1.15,1.9,0.95,0.4523809523809523809523809523809524
2.2,1.15,2.1,1.05,0.4772727272727272727272727272727273
2.3,1.15,2.3,1.15,0.5
2.4,1.15,2.5,1.25,0.5208333333333333333333333333333333
2.5,1.15,2.7,1.35,0.54
2.6,1.15,2.9,1.45,0.5576923076923076923076923076923077
2.7,1.15,3.1,1.55,0.5740740740740740740740740740740741
2.8,1.15,3.3,1.65,0.5892857142857142857142857142857143
2.9,1.15,3.5,1.75,0.6034482758620689655172413793103448
3.0,1.15,3.7,1.85,0.6166666666666666666666666666666667
3.1,1.15,3.9,1.95,0.6290322580645161290322580645161290
3.2,1.15,4.1,2.05,0.640625
3.3,1.15,4.3,2.15,0.6515151515151515151515151515151515
3.4,1.15,4.5,2.25,0.6617647058823529411764705882352941
3.5,1.15,4.7,2.35,0.6714285714285714285714285714285714
3.6,1.15,4.9,2.45,0.6805555555555555555555555555555556
3.7,1.15,5.1,2.55,0.6891891891891891891891891891891892
3.8,1.15,5.3,2.65,0.6973684210526315789473684210526316
3.9,1.15,5.5,2.75,0.7051282051282051282051282051282051
4.0,1.15,5.7,2.85,0.7125
4.1,1.15,5.9,2.95,0.7195121951219512195121951219512195
4.2,1.15,6.1,3.05,0.7261904761904761904761904761904762
4.3,1.15,6.3,3.15,0.7325581395348837209302325581395349
4.4,1.15,6.5,3.25,0.7386363636363636363636363636363636
