time,meanMsgsAtGateway,meanAtService
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,1,0
0.6,1,0
0.7,1,0
0.8,1,0
0.9,1,0
1.0,1,0
1.1,1,0
1.2,1,0
1.3,1,0
1.4,1,0
1.5,1,0
1.6,1,0
1.7,1,0
1.8,1,0
1.9,1,0
2.0,1,0
2.1,1,0
2.2,1,0
2.3,1,0
2.4,1,0
2.5,1,0
2.6,1,0
2.7,1,0
2.8,1,0
2.9,1,0
3.0,1,0
3.1,1,0
3.2,3,0
3.3,3,0
3.4,3,0
3.5,3,0
3.6,3,0
3.7,3,0
3.8,3,0
3.9,3,0
4.0,3,0
4.1,3,0
4.2,3,0
4.3,3,0
4.4,3,0
4.5,3,0
4.6,3,0
4.7,3,0
4.8,3,0
4.9,3,0
5.0,3,0
5.1,3,0
5.2,3,0
5.3,4,0
5.4,4,0
5.5,4,0
5.6,4,0
5.7,4,0
5.8,4,0
5.9,4,0
6.0,4,0
6.1,4,0
6.2,4,0
6.3,4,0
6.4,4,0
6.5,4,0
6.6,4,0
6.7,4,0
6.8,4,0
6.9,4,0
7.0,6,0
7.1,6,0
7.2,6,0
7.3,6,0
7.4,6,0
7.5,6,0
7.6,6,0
7.7,6,0
7.8,7,0
7.9,7,0
8.0,8,0
8.1,8,0
8.2,8,0
8.3,8,0
8.4,8,0
8.5,9,0
8.6,9,0
8.7,9,0
8.8,9,0
8.9,9,0
9.0,9,0
9.1,9,0
9.2,9,0
9.3,9,0
9.4,9,0
9.5,10,0
9.6,10,0
9.7,10,0
9.8,10,0
9.9,10,0
10.0,10,0
10.1,10,0
10.2,10,0
10.3,10,0
10.4,10,0
10.5,10,0
10.6,10,0
10.7,10,0
10.8,10,0
10.9,10,0
11.0,10,0
11.1,10,0
11.2,10,0
11.3,10,0
11.4,10,0
11.5,10,0
11.6,11,0
11.7,11,0
11.8,12,0
11.9,12,0
12.0,12,0
12.1,12,0
12.2,12,0
12.3,12,0
12.4,12,0
12.5,12,0
12.6,12,0
12.7,12,0
12.8,12,0
12.9,12,0
13.0,0,14
13.1,0,14
13.2,0,14
13.3,0,14
13.4,0,13
13.5,0,13
13.6,0,13
13.7,0,13
13.8,0,13
13.9,0,13
14.0,0,13
14.1,0,13
14.2,0,13
14.3,0,13
14.4,0,13
14.5,0,13
14.6,0,12
14.7,0,12
14.8,0,12
14.9,0,11
15.0,0,11
15.1,0,11
15.2,0,11
15.3,1,11
15.4,1,11
15.5,1,11
15.6,1,11
15.7,1,11
15.8,2,11
15.9,3,11
16.0,3,11
16.1,3,11
16.2,3,10
16.3,3,10
16.4,4,9
16.5,4,9
16.6,5,9
16.7,5,9
16.8,5,9
16.9,5,9
17.0,5,9
17.1,6,9
17.2,6,8
17.3,6,8
17.4,6,7
17.5,6,7
17.6,6,7
17.7,6,7
17.8,6,7
17.9,6,6
18.0,6,5
18.1,6,5
18.2,6,4
18.3,6,4
18.4,6,4
18.5,6,3
18.6,6,3
18.7,6,3
18.8,6,3
18.9,6,2
19.0,6,2
19.1,6,2
19.2,6,2
19.3,7,2
19.4,7,2
19.5,7,2
19.6,7,2
19.7,7,2
19.8,7,2
19.9,7,2
20.0,7,2
20.1,7,1
20.2,7,1
20.3,7,1
20.4,7,0
20.5,7,0
20.6,7,0
20.7,7,0
20.8,8,0
20.9,8,0
21.0,8,0
21.1,8,0
21.2,8,0
21.3,8,0
21.4,8,0
21.5,10,0
21.6,10,0
21.7,10,0
21.8,10,0
21.9,10,0
22.0,10,0
22.1,10,0
22.2,10,0
22.3,10,0
22.4,10,0
22.5,10,0
22.6,10,0
22.7,10,0
22.8,10,0
22.9,11,0
23.0,11,0
23.1,11,0
23.2,11,0
23.3,11,0
23.4,11,0
23.5,11,0
23.6,11,0
23.7,11,0
23.8,11,0
23.9,11,0
24.0,11,0
24.1,11,0
24.2,11,0
24.3,11,0
24.4,11,0
24.5,11,0
24.6,11,0
24.7,11,0
24.8,11,0
24.9,11,0
25.0,11,0
25.1,11,0
25.2,11,0
25.3,11,0
25.4,11,0
25.5,11,0
25.6,11,0
25.7,12,0
25.8,12,0
25.9,12,0
26.0,12,0
26.1,13,0
26.2,13,0
26.3,14,0
26.4,14,0
26.5,14,0
26.6,15,0
26.7,15,0
26.8,15,0
26.9,15,0
27.0,15,0
27.1,15,0
27.2,15,0
27.3,15,0
27.4,15,0
27.5,15,0
27.6,15,0
27.7,15,0
27.8,0,17
27.9,0,17
28.0,0,17
28.1,0,17
28.2,0,17
28.3,0,17
28.4,0,17
28.5,0,16
28.6,0,15
28.7,0,14
28.8,0,14
28.9,0,14
29.0,0,14
29.1,1,14
29.2,1,14
29.3,1,14
29.4,1,14
29.5,1,14
29.6,1,14
29.7,1,14
29.8,1,14
29.9,1,14
30.0,1,14
30.1,1,14
30.2,1,14
30.3,1,14
30.4,1,14
30.5,1,14
30.6,1,14
30.7,1,14
30.8,1,14
30.9,1,14
31.0,1,14
31.1,1,14
31.2,1,14
31.3,1,14
31.4,1,13
31.5,1,13
31.6,1,13
31.7,1,13
31.8,1,12
31.9,1,10
32.0,1,10
32.1,1,10
32.2,1,10
32.3,1,10
32.4,1,10
32.5,1,10
32.6,2,10
32.7,2,10
32.8,2,10
32.9,2,10
33.0,2,10
33.1,2,10
33.2,2,10
33.3,3,10
33.4,3,10
33.5,4,10
33.6,4,10
33.7,5,10
33.8,5,10
33.9,5,9
34.0,6,9
34.1,6,9
34.2,6,9
34.3,6,9
34.4,6,9
34.5,6,9
34.6,6,9
34.7,6,9
34.8,6,9
34.9,7,9
