time,meanMsgsAtGateway,meanAtService
0,0,0
0.1,1,0
0.2,1,0
0.3,1,0
0.4,1,0
0.5,1,0
0.6,1,0
0.7,1,0
0.8,2,0
0.9,2,0
1.0,2,0
1.1,2,0
1.2,2,0
1.3,2,0
1.4,2,0
1.5,2,0
1.6,2,0
1.7,2,0
1.8,2,0
1.9,2,0
2.0,4,0
2.1,4,0
2.2,4,0
2.3,4,0
2.4,4,0
2.5,4,0
2.6,4,0
2.7,4,0
2.8,4,0
2.9,4,0
3.0,4,0
3.1,4,0
3.2,4,0
3.3,4,0
3.4,4,0
3.5,4,0
3.6,4,0
3.7,4,0
3.8,4,0
3.9,4,0
4.0,6,0
4.1,8,0
4.2,9,0
4.3,9,0
4.4,10,0
4.5,10,0
4.6,10,0
4.7,10,0
4.8,10,0
4.9,10,0
5.0,10,0
5.1,10,0
5.2,10,0
5.3,10,0
5.4,10,0
5.5,10,0
5.6,11,0
5.7,11,0
5.8,11,0
5.9,11,0
6.0,12,0
6.1,12,0
6.2,12,0
6.3,12,0
6.4,12,0
6.5,12,0
6.6,12,0
6.7,14,0
6.8,14,0
6.9,14,0
7.0,14,0
7.1,14,0
7.2,14,0
7.3,14,0
7.4,14,0
7.5,14,0
7.6,14,0
7.7,14,0
7.8,14,0
7.9,14,0
8.0,14,0
8.1,15,0
8.2,15,0
8.3,15,0
8.4,15,0
8.5,16,0
8.6,16,0
8.7,16,0
8.8,16,0
8.9,16,0
9.0,16,0
9.1,18,0
9.2,18,0
9.3,18,0
9.4,18,0
9.5,18,0
9.6,18,0
9.7,18,0
9.8,18,0
9.9,18,0
10.0,18,0
10.1,18,0
10.2,18,0
10.3,18,0
10.4,18,0
10.5,18,0
10.6,18,0
10.7,18,0
10.8,18,0
10.9,18,0
11.0,18,0
11.1,18,0
11.2,18,0
11.3,19,0
11.4,19,0
11.5,19,0
11.6,19,0
11.7,19,0
11.8,19,0
11.9,19,0
12.0,19,0
12.1,0,22
12.2,0,22
12.3,0,22
12.4,0,22
12.5,0,22
12.6,0,22
12.7,0,21
12.8,0,21
12.9,0,21
13.0,1,21
13.1,1,21
13.2,1,21
13.3,1,21
13.4,1,21
13.5,1,21
13.6,1,21
13.7,1,21
13.8,1,21
13.9,1,21
14.0,1,21
14.1,1,21
14.2,1,21
14.3,1,21
14.4,1,21
14.5,1,21
14.6,1,21
14.7,1,21
14.8,1,21
14.9,1,21
15.0,1,21
15.1,1,21
15.2,1,21
15.3,1,20
15.4,1,20
15.5,1,20
15.6,1,20
15.7,2,20
15.8,2,20
15.9,2,20
16.0,2,20
16.1,3,20
16.2,3,20
16.3,3,20
16.4,3,20
